C04DS1X83 general
1 :man-bowing: 22
2 :eyes: 18
3 :arigato: 8
4 :+1: 6
5 :full_moon_with_face: 5

#meetup-3社合同イベント

#talk-sweets

#yappli-app-release
1 :congratulations: 2088
2 :tada: 1773
3 :sparkles: 301
4 :god: 242
5 :素敵やん: 170

#customize-wego
1 :woman-gesturing-ok: 14
2 :man-bowing: 12
3 :tada: 9
4 :scream: 8
5 :sob: 7

#team-cre

#club-sound-associates

#team-communication
1 :arigato: 74
2 :+1: 28
3 :man-gesturing-ok: 28
4 :woman-raising-hand: 18
5 :sparkles: 15

#admin_announce

#team-frontend

#customize-lettuce

#notify-trello-com

#mktg-creative

#corporate_disney0621

#customize-can
1 :bow: 31
2 :+1: 9
3 :ok: 5
4 :ok_woman: 5
5 :man-bowing: 4

#customize-sekido
1 :man-bowing: 2
2 :azasu: 1
3 :ok_hand: 1
4 :soregaii: 1

#customize-eizai-ec

#prj-ac-newtokyo

#tmp-prj-start
1 :wwww: 3
2 :ami: 1
3 :beach_with_umbrella: 1
4 :man-bowing: 1
5 :man-gesturing-ok::skin-tone-2: 1

#osaka-office

#prj-office-party
1 :arigato: 44
2 :man-bowing: 24
3 :kawaii: 22
4 :man-gesturing-ok: 18
5 :woman-gesturing-ok: 17

#notify-github-android
1 :done: 18
2 :+1: 6
3 :question: 4
4 :thinking_face: 4
5 :full_moon_with_face: 3

#prj-uiux-improve

#notification_check

#alert-appcapsule
1 :eyes: 34
2 :+1: 5
3 :dousite: 4
4 :man-bowing: 4
5 :bow: 3

#times-yamane

#support-high

#prj-new-cms
1 :man-bowing: 61
2 :eyes: 25
3 :uniuni: 21
4 :arigato: 20
5 :done: 17

#club-padel
1 :arigato: 55
2 :sasugada: 40
3 :+1: 37
4 :full_moon_with_face: 29
5 :tada: 29

#copen_igarashi
1 :pray: 127
2 :woman-bowing: 91
3 :woman-raising-hand: 58
4 :man-bowing: 53
5 :woman-gesturing-ok: 42

#to-app-ad

#marke_offline

#customize-alpen
1 :man-bowing: 14
2 :woman-gesturing-ok: 10
3 :woman-gesturing-ok::skin-tone-2: 4
4 :tada: 3
5 :done: 2

#prj-corp-hp-renewal
1 :man-bowing: 26
2 :woman-gesturing-ok: 25
3 :arigato: 20
4 :woman-bowing: 19
5 :done: 16

#times-legstand

#customize-kibera

#bicycle
1 :sugukinnniku: 3
2 :eyes: 2
3 :arigato: 1

#customize-sanrio

#team-appcapsule-dev

#talk-motorcycle
1 :tada: 10
2 :soreda: 4
3 :kusa: 3
4 :sasugada: 3
5 :+1: 2

#prj_funnel_cvr

#times-oni
1 :oni: 119
2 :oninikanabou: 76
3 :yoshiyoshi: 64
4 :tada: 49
5 :oninomenimonamida: 37

#team-creative-office

#weddingpresent

#backoffice

#customize-sanyo
1 :woman-gesturing-ok: 14
2 :arigato: 12
3 :man-bowing: 12
4 :man-gesturing-ok: 5
5 :man-raising-hand: 4

#jun_bunkasai
1 :mount_fuji: 1
2 :sob: 1

#notify-ce-wiki

#prj-office-food
1 :sob: 5
2 :yoi: 5
3 :disappointed_relieved: 4
4 :kannzenndoui: 4
5 :clap: 3

#customize-tokyobase
1 :+1: 2
2 :grin: 1
3 :triumph: 1

#cms3
1 :white_check_mark: 4
2 :+1: 3
3 :moneybag: 1
4 :smiley: 1

#team-comm_cs

#ladys
1 :heart: 37
2 :arigato: 16
3 :raising_hand: 14
4 :kawaii: 13
5 :+1: 12

#customize-saishunkan
1 :bow: 3
2 :+1: 1
3 :flag-tw: 1
4 :man-bowing: 1
5 :ok: 1

#kintai

#prj-ac-nihonshu
1 :ryokai: 2
2 :arigato: 1

#customize-printemps

#ec

#client_list
1 :man-bowing: 3
2 :hikaru: 1
3 :woman-raising-hand: 1

#notify-ce-workflow

#fukuoka-sales

#prj-vulnerability-che

#project_zappar

#cs_dir

#make_doc

#osaka-emergency

#prj-y4b-ad-hoyu

#times-yokosuka
1 :sorena: 25
2 :wakaru: 24
3 :yoshiyoshi: 24
4 :sob: 19
5 :kusa: 15

#talk-johnnys
1 :heart: 4
2 :sparkles: 4
3 :hi: 2
4 :ii: 2
5 :muu: 2

#notify-github
1 :893: 2
2 :rerun: 1

#insidesales_marketing
1 :arigato: 93
2 :thanks: 55
3 :sasugada: 48
4 :sugoi: 43
5 :man-bowing: 29

#notify-alert
1 :arigato: 135
2 :kire: 86
3 :man-bowing: 81
4 :sasugada: 57
5 :god: 31

#dev_daily_report
1 :+1: 1
2 :ka: 1
3 :nn: 1
4 :ta: 1

#field_sales_team3
1 :man-bowing: 11
2 :crab: 8
3 :man-gesturing-ok: 7
4 :+1: 5
5 :kusa: 5

#notify-new-cms
1 :+1: 1
2 :naruhodo: 1
3 :zannnenn: 1

#incident

#customize_joyful

#customize-teamo

#notify-cs-survey
1 :sparkles: 54
2 :watasida: 17
3 :ok_hand: 11
4 :+1: 5
5 :tada: 5

#customize-joix

#customize-conven

#notify-zoom-alert

#team-designer-only

#customize-cybozu

#customize-hp

#prj-ac-pmi

#prj-corp-security

#notify-cr-jira

#teamdocs

#prj-customersuccessda
1 :arigato: 38
2 :+1: 23
3 :man-bowing: 22
4 :woman-gesturing-ok: 20
5 :sasugada: 16

#talk-sushi
1 :sushi_move: 9
2 :sushiparrot: 9
3 :god: 8
4 :kusa: 6
5 :sugusushi: 6

#yapplisummit
1 :arigato: 56
2 :sugoi: 28
3 :tada: 28
4 :+1: 18
5 :man-bowing: 16

#harajuku_food
1 :kawaii: 4
2 :akusiro: 2
3 :youkoso: 2
4 :ge: 1
5 :kurata-san: 1

#to-churn-rate
1 :+1: 9
2 :tada: 4
3 :desuyone: 3
4 :arigato: 2
5 :man-raising-hand: 2

#project_photoframe

#team-corp-okr

#customize-zaza
1 :man-gesturing-ok: 3
2 :man-bowing::skin-tone-2: 1

#notify-cs-dir-de-tel

#team-bdr
1 :sasugada: 1

#copen_unyo_community
1 :woman-gesturing-ok: 95
2 :woman-bowing: 73
3 :man-bowing: 38
4 :pray: 28
5 :woman-gesturing-ok::skin-tone-2: 20

#notify-highest

#customize-java

#to-office-facilities
1 :done: 145
2 :arigato: 92
3 :woman-bowing: 30
4 :man-bowing: 28
5 :woman-gesturing-ok: 26

#project_devweb
1 :cry: 1
2 :man-bowing: 1
3 :tada: 1

#tmp-improve-pbl

#talk-dodesyo
1 :sugoi: 15
2 :onchan: 11
3 :daisuki: 9
4 :sasugada: 8
5 :youkoso: 8

#times-koga
1 :sparkles: 2

#olive

#notify-issue-qacs

#times-kodai
1 :sasugada: 2
2 :adachi: 1
3 :naruhodo: 1

#custom_theory

#tmp-creative-workflow
1 :sugoi: 2
2 :arigato: 1
3 :azasu: 1
4 :sparkles: 1

#team-pr-ir

#to-appcapsule
1 :azasu: 21
2 :ryokai: 18
3 :arigato: 14
4 :man-gesturing-ok: 14
5 :man-bowing: 8

#tmp-customer_data

#customize-azul
1 :bow: 35
2 :end: 34
3 :100: 33
4 :ok: 26
5 :sob: 15

#developer_kpt
1 :tada: 7
2 :thinking_face: 4
3 :yoshiyoshi: 4
4 :god: 3
5 :sparkles: 3

#customize-kubarahonke
1 :done: 2
2 :man-bowing: 2
3 :man-raising-hand::skin-tone-2: 2
4 :+1: 1
5 :exploding_head: 1

#talk-papa-mama
1 :kawaii: 160
2 :gyankawa: 23
3 :sugoi: 18
4 :sparkles: 12
5 :wwww: 12

#p_mark
1 :man-bowing: 26
2 :kurata-san: 14
3 :tada: 13
4 :woman-bowing: 12
5 :arigato: 9

#customize-talbots
1 :man-bowing: 8
2 :pray: 4
3 :woman-gesturing-ok: 4
4 :arigato: 3
5 :ok_woman: 3

#team-19march-join

#prj-se-test

#s_assistant

#customize-jrnewdays

#talk-golf

#tmp-display-improve

#team-19april-join

#customize-aeon
1 :bow: 11
2 :+1: 7
3 :pray: 5
4 :ok_woman: 4
5 :tada: 4

#kintai-marketing
1 :tea: 539
2 :yoshiyoshi: 154
3 :muscle: 147
4 :+1: 96
5 :sparkles: 68

#custmaize_asakusa
1 :bow: 4
2 :+1: 2
3 :ok_woman: 2
4 :pray: 2

#times-fujishita

#tmp-designer-intern
1 :man-bowing: 7
2 :arigato: 3
3 :man-bowing::skin-tone-2: 3
4 :pray: 3
5 :god: 2

#team-creative-o-only
1 :harunatu: 15
2 :akihuyu: 13
3 :thanks: 10
4 :arigato: 9
5 :mariusu_: 6

#prj-labo-yappli
1 :woman-gesturing-ok: 3

#yappli_training

#prj-marketingcreative
1 :man-bowing: 49
2 :woman-gesturing-ok: 39
3 :arigato: 26
4 :yarimasu: 20
5 :nanitozo: 11

#make_docs

#customize-neuve-a

#god

#to-creative-req

#customize-tutu
1 :man-bowing: 12
2 :arigato: 10
3 :man-bowing::skin-tone-2: 10
4 :+1: 8
5 :sob: 6

#yoga
1 :god: 8
2 :woman_in_lotus_position: 7
3 :cry: 4
4 :tea: 4
5 :woman-raising-hand: 4

#prj-ac-business
1 :woman-gesturing-ok: 15
2 :arigato: 14
3 :man-bowing: 11
4 :man-gesturing-ok: 11
5 :sasugada: 10

#prj-corp-app
1 :full_moon_with_face: 12
2 :arigato: 8
3 :woman-bowing::skin-tone-2: 5
4 :+1: 4
5 :done: 4

#customize-olive
1 :+1: 1

#team-appcapsule
1 :arigato: 66
2 :azasu: 48
3 :ryokai: 40
4 :man-bowing: 27
5 :+1: 16

#wew

#tmp-zendesk-support

#talk-designer-review

#ma

#to-cs-mail-magazine
1 :arigato: 35
2 :man-bowing: 18
3 :pray::skin-tone-5: 12
4 :sparkles: 12
5 :bakusoku: 7

#prj-ac-sotetsu

#team-pr

#customize-matsuya
1 :hosodamitayo: 1
2 :kawaii: 1
3 :ookini: 1
4 :woman-bowing: 1

#customize-punyus

#customize-trecenti
1 :desuyone: 3
2 :man-bowing: 3
3 :man-gesturing-ok: 3
4 :arigato: 2
5 :ok: 2

#kin

#水野

#notify-soumu-etc

#tmp-pdwars-con

#aeon-sfmc_test_team
1 :tada: 2

#times-okiku

#project_repro

#prj-ac-zundoya

#team-19july-join-
1 :arigato: 4
2 :god: 3
3 :man-bowing: 3
4 :woman-bowing: 2

#katespade_aftertalk

#osaka-random

#talk-aiharadio

#prj-ac-joysound

#team-meetup

#kpt

#notify-yappli-cafe
1 :woman-raising-hand: 2
2 :scream: 1

#osaka-tel
1 :man-raising-hand::skin-tone-2: 4
2 :man-bowing::skin-tone-2: 3
3 :man-gesturing-ok: 3
4 :man-raising-hand: 3
5 :done: 2

#prj-y4b-question
1 :a: 3
2 :question: 3
3 :arigato: 1
4 :ok_hand: 1
5 :woman-bowing: 1

#to-legal

#notify-reception

#katesapade_us

#times-simako

#customize-doda

#customize-shinseibank

#talk-mochizuki

#alart

#bar_frontier
1 :+1: 2
2 :sunflower: 2
3 :cry: 1
4 :fearful: 1
5 :kodak: 1

#prj-ga

#notify-jira-apcy

#customize-fishing8

#yappli-novelty

#tmp-consider-ax
1 :man-raising-hand: 5
2 :arigato: 4
3 :sparkles: 4
4 :full_moon_with_face: 3
5 :goisuu: 3

#prj-ac-ikkadining

#labo

#interview_request
1 :done: 280
2 :arigato: 37
3 :woman-bowing: 37
4 :woman-gesturing-ok: 36
5 :woman-raising-hand: 35

#customize-bodymaker
1 :man-bowing::skin-tone-2: 4
2 :man-raising-hand: 4
3 :man-bowing: 3
4 :arigato: 2
5 :congratulations: 2

#applicationinfo_audit
1 :woman-bowing: 7
2 :yarimasu: 7
3 :arigato: 6
4 :pray: 3
5 :sasugada: 3

#team-corp-engineering

#prj-ac-draft

#osaka-capsule
1 :man-bowing: 2

#team-ac-gen_affairs

#kobelettuce

#team-apps

#pmi_corporate

#talk-starbucks

#notify-mtg-room-jira

#yappli-cafe

#issuebox
1 :bow: 10
2 :+1: 8
3 :rerun: 5
4 :pray: 4
5 :hand: 2

#club-barista
1 :habuchi-raising-hand: 44
2 :sasugada: 26
3 :arigato: 20
4 :coffee: 15
5 :woman-raising-hand: 13

#kintai-designers
1 :tea: 200
2 :yoshiyoshi: 83
3 :murisunna: 47
4 :hosodamitayo: 32
5 :woman-raising-hand: 23

#mktg-cs

#notify

#notify-ac-tel

#random
1 :sasugada: 257
2 :sugoi: 254
3 :tada: 244
4 :sparkles: 191
5 :kawaii: 128

#customize_j

#team-creative-k-only

#ext-overdrive-yappli

#notify-relocation
1 :arigato: 1
2 :woman-raising-hand: 1

#yappli-friend-club
1 :素敵やん: 697
2 :youkoso: 601
3 :sparkles: 563
4 :kawaii: 548
5 :tada: 450

#project_guideline

#notify-recruit-tel

#to-partner

#customize-tokyodelica

#request

#talk-designer-ohanami
1 :kawaii: 5
2 :seikai: 2
3 :sparkles: 2
4 :ham_bare: 1
5 :kusa: 1

#team-servers

#prj-ac-tsukada

#tmp-reject
1 :tada: 48
2 :congratulations: 45
3 :god: 29
4 :sparkles: 27
5 :sasugada: 15

#customize-estnation

#customize-ete
1 :man-bowing: 3
2 :nanitozo: 1
3 :pray: 1

#talk-lunch

#customize-daiwahotel
1 :man-bowing: 21
2 :woman-raising-hand: 19
3 :pray: 13
4 :arigato: 12
5 :yoroshiku: 7

#osaka-4ch
1 :birthdaypartyparrot: 71
2 :man-raising-hand: 55
3 :congratulations: 40
4 :man-gesturing-ok: 40
5 :tada: 28

#team-sales-planning

#tmp-new-vpn-user
1 :done: 2
2 :man-bowing: 2
3 :sumi: 2
4 :+1: 1
5 :kotetu: 1

#talk-shitamach
1 :youkoso: 7
2 :arigato: 2
3 :sparkles: 2
4 :tabetai: 2
5 :wakaru: 2

#fukuoka-food
1 :+1::skin-tone-2: 1

#prj-official-manual

#storage
1 :gift: 2

#customize-diskunion
1 :man-bowing: 20
2 :woman-gesturing-ok: 9
3 :pray: 4
4 :+1: 2
5 :god: 2

#times-ikeu

#times-muscle
1 :wwww: 36
2 :kusa: 34
3 :kaere: 17
4 :sorena: 15
5 :yoshiyoshi: 15

#tmp-android-pushcount

#prj-update-info

#sandbox

#neutral-works-app

#times-nakami

#project_chatsdk

#times-nabe
1 :wakaru: 31
2 :kusa: 27
3 :wwww: 26
4 :yoshiyoshi: 26
5 :naruhodo: 20

#prj-coloricon
1 :arigato: 8
2 :tada: 8
3 :+1: 3
4 :desuyone: 3
5 :interrobang: 3

#notify-alert-dev
1 :eyes: 9
2 :arigato: 4
3 :+1: 3
4 :desuyone: 3
5 :naruhodo: 3

#smc-sanrio

#team-marketing
1 :sugoi: 121
2 :arigato: 115
3 :clap: 113
4 :sasugada: 90
5 :otukaresama: 76

#customize-joshin
1 :man-raising-hand: 41
2 :man-bowing: 36
3 :tigers: 18
4 :arigato: 14
5 :man-gesturing-ok: 14

#kintai-corporate
1 :yoshiyoshi: 1514
2 :tea: 761
3 :murisunna: 339
4 :train: 290
5 :woman-raising-hand: 123

#club-boardgame

#times-sasa
1 :yoshiyoshi: 6
2 :nanntekottai: 3
3 :ponponpain: 3
4 :uni: 3
5 :kaneda-: 2

#prj-y4b-the-nextpmf
1 :woman-gesturing-ok: 12
2 :sasugada: 10
3 :+1: 7
4 :woman-bowing: 7
5 :arigato-attouteki-kansha: 5

#team-sales
1 :congratulations: 629
2 :tada: 613
3 :sasugada: 347
4 :+1: 290
5 :sugoi: 274

#to-developer
1 :man-bowing: 78
2 :tada: 78
3 :arigato: 67
4 :sasugada: 39
5 :+1: 22

#ext-aloha-yappli

#club-k-on

#times-kajuiwa
1 :kusa: 41
2 :wakaru: 36
3 :yoshiyoshi: 28
4 :sorena: 23
5 :naruhodo: 16

#prj_ac_invoice

#prj-engineer-event

#club-golf

#abstract

#talk-racing_kart

#temp-recruiting-dev

#doublefocus

#the-north-face-ope

#temporary_gogotea
1 :arigato: 5
2 :bow::skin-tone-3: 3
3 :heartbeat: 3
4 :sasugada: 3
5 :woman-gesturing-ok: 3

#ope-hellyhansen
1 :sweat_drops: 1

#copen_utsumi

#times-mochizuki
1 :kusa: 61
2 :yoshiyoshi: 61
3 :sorena: 52
4 :naruhodo: 46
5 :thinking_face: 44

#web_seo_sem

#prj-churn-down
1 :white_check_mark: 39
2 :god: 22
3 :sob: 15
4 :scream: 14
5 :tada: 14

#prj-migration-note
1 :+1: 2
2 :arigato: 1
3 :naruhodo: 1
4 :pray: 1

#customize-tomiduya

#customize-jun
1 :man-bowing: 33
2 :woman-gesturing-ok: 26
3 :man-bowing::skin-tone-2: 23
4 :otukaresama: 16
5 :+1: 11

#chi-ra-mi-se-night
1 :evergreen_tree: 2
2 :man-bowing::skin-tone-3: 2
3 :+1: 1
4 :+1::skin-tone-3: 1
5 :arigato: 1

#times-shin

#team-cs-director-only
1 :woman-raising-hand: 16
2 :done: 11
3 :ok: 11
4 :strawberry: 10
5 :man-gesturing-ok: 9

#question_box
1 :tada: 17
2 :sparkles: 11
3 :+1: 8
4 :bow: 4
5 :clap: 4

#notify-new-cms-alert

#to-casestudy
1 :sugoi: 218
2 :tada: 200
3 :sparkles: 193
4 :kawaii: 148
5 :kandoutaiken: 120

#yappli-tel
1 :done: 34
2 :woman-raising-hand: 31
3 :arigato: 29
4 :woman-gesturing-ok: 26
5 :woman-bowing: 13

#customize-taisho

#customize-sanyo-old

#customize-yoshimoto

#tmp-highest-flow-upda

#notify-1pass-confirm

#prj-doi-ext-operation
1 :pray: 122
2 :woman-raising-hand: 68
3 :man-bowing: 67
4 :arigato: 51
5 :yarimasu: 31

#note-ootani

#marketing-only
1 :arigato: 52
2 :woman-gesturing-ok: 31
3 :+1: 18
4 :muscle: 18
5 :kusa: 14

#yappli-relocation2019
1 :arigato: 31
2 :sasugada: 22
3 :sparkles: 21
4 :tada: 20
5 :yoi: 19

#fukuoka-relocation
1 :+1: 1
2 :arigato: 1
3 :god: 1

#tmp-uiux-designer-jd

#club-movie

#talk-gamers

#bubble_how_to

#customize-chibagin
1 :+1: 14
2 :bow: 14
3 :arigato: 9
4 :pray: 8
5 :man-bowing: 7

#team-corporate
1 :arigato: 134
2 :tada: 76
3 :woman-bowing: 66
4 :woman-raising-hand: 55
5 :youkoso: 53

#cs_emergency
1 :done: 26
2 :woman-gesturing-ok: 15
3 :tannome: 3
4 :woman-bowing: 3
5 :woman-gesturing-no: 3

#customize-beams

#customize-levistrauss

#prj-t-point

#改善

#yapplinight

#roumu_memo

#prj-product-invoice

#tmp-y4b-auth

#corporate_name
1 :+1: 4
2 :grinning: 4
3 :sparkles: 4
4 :custard: 3
5 :heartbeat: 3

#customize-arigaen
1 :tada: 5
2 :man-bowing: 3
3 :yattane: 3
4 :+1: 2
5 :man-raising-hand: 2

#customize-shimojima

#customize_oogaki

#recruiting
1 :man-bowing::skin-tone-3: 24
2 :tada: 20
3 :sasugada: 12
4 :arigato: 9
5 :woman-bowing: 9

#fieldsales-勤怠

#talk-gyoza
1 :dumpling: 20
2 :oseru: 5
3 :sasugada: 5
4 :arigato: 4
5 :god: 4

#prj-biometric-auth

#to-director
1 :done: 40
2 :man-bowing: 28
3 :woman-gesturing-ok: 21
4 :man-raising-hand: 14
5 :man-bowing::skin-tone-2: 11

#notify-support

#customize-honeys

#times-thasegawa

#tmp-time-keeper

#to-team-creative
1 :man-bowing: 66
2 :woman-gesturing-ok: 45
3 :pray: 34
4 :woman-bowing: 32
5 :yarimasu: 26

#project_dashboard
1 :man-bowing: 12
2 :sparkles: 9
3 :bow: 7
4 :eyes: 7
5 :ami: 6

#prj_funnel
1 :asanosanface: 6
2 :+1: 5
3 :asanosanface1: 5
4 :arigato: 2
5 :pray: 2

#customize-casting
1 :bow: 30
2 :+1: 13
3 :tada: 10
4 :metal: 6
5 :fishing_pole_and_fish: 4

#we
1 :ai_takahashi: 12

#customize-foodyone
1 :man-bowing: 1

#marke_online

#ext-yappli-cafe
1 :arigato: 8
2 :+1: 6
3 :woman-gesturing-ok: 6
4 :woman-bowing: 5
5 :man-bowing: 4

#prj-labo_yappli

#where_is_sozai

#team-payroll-ga

#fukuoka-exhibition

#customize-syabuyo
1 :893: 1
2 :surfer: 1

#times-hos
1 :hosodamitayo: 75
2 :kusa: 59
3 :kawaii: 51
4 :dondokodondoko: 36
5 :yoshiyoshi: 35

#customize-clublion
1 :arigato: 31
2 :tada: 23
3 :sob: 18
4 :man-bowing: 17
5 :yattane: 13

#ext-pitcrew

#chaos

#notify-apps-review
1 :full_moon_with_face: 1

#tmp-improve-corpphone
1 :man-bowing: 1

#to-hr

#ext-abridge-yappli
1 :man-bowing: 8
2 :naruhodo: 5
3 :+1: 4
4 :woman-gesturing-ok: 4
5 :desuyone: 2

#talk-iyashi_no_mado

#times-zuckey2

#times-habuchi
1 :kawaii: 33
2 :kusa: 26
3 :habuchi-gesturing-ok: 25
4 :iikinnniku: 20
5 :sasugada: 16

#customize-rope

#andb

#develop

#summit_reception

#luxury_china

#prj-app-marketing
1 :arigato: 69
2 :tada: 42
3 :man-bowing: 31
4 :sparkles: 25
5 :+1: 20

#prj-rakuten_pt
1 :man-bowing: 52
2 :arigato: 18
3 :tada: 17
4 :sparkles: 9
5 :+1: 7

#team-qa
1 :man-raising-hand: 68
2 :man-bowing: 31
3 :tada: 19
4 :man-raising-hand::skin-tone-3: 16
5 :+1::skin-tone-3: 11

#customize-inageya
1 :+1: 3
2 :beers: 1
3 :pray: 1
4 :triumph: 1

#year-end
1 :+1: 1
2 :100: 1
3 :bell: 1
4 :bow: 1
5 :dancers: 1

#team-19june-join

#matsuda-fan-club

#prj-firebase

#tmp-account-copy

#internal-audit
1 :heavy_check_mark: 1

#to-wework-key
1 :arigato: 52
2 :god: 26
3 :woman-raising-hand: 24
4 :kawaii: 22
5 :ikeuchi-san: 20

#営業企画--開発
1 :+1: 11
2 :woman-gesturing-ok: 11
3 :pray: 5
4 :man-bowing: 4
5 :face_with_rolling_eyes: 2

#dev_handson

#customize_niko

#customize-tomy
1 :man-bowing::skin-tone-5: 4
2 :+1: 3
3 :woman-bowing: 3
4 :woman-gesturing-ok: 2
5 :woman-gesturing-ok::skin-tone-2: 2

#notify-pti-jira

#prj-doi

#notify-online-sales
1 :+1: 1
2 :bow: 1

#to-designer

#tmp-welcome-gift

#notify-ce-tel

#pricelist

#customize-heads
1 :man-gesturing-ok: 3
2 :man-bowing::skin-tone-2: 2
3 :man-gesturing-ok::skin-tone-6: 2
4 :man-raising-hand::skin-tone-2: 2
5 :man-bowing: 1

#osaka-novelty
1 :素敵やん: 10
2 :近藤なう: 4
3 :gi: 3
4 :ii: 3
5 :na: 3

#yappli

#freetrial_lead

#prj-corp-photo

#ad_model

#customize_shincho

#diffeasy_yappli
1 :bow: 1
2 :man-bowing: 1

#prj-ar
1 :arigato: 3
2 :full_moon_with_face: 2
3 :kandoutaiken: 2
4 :man-bowing: 2
5 :man-gesturing-ok: 2

#prj-appcapsule

#to-salestalk
1 :sasugada: 64
2 :sugoi: 41
3 :+1: 40
4 :god: 18
5 :clap: 14

#to-sf-migration
1 :done: 134
2 :man-bowing: 35
3 :woman-gesturing-ok: 20
4 :arigato: 19
5 :+1: 13

#customize-soundhouse

#notify-qa-jira

#osaka_project

#general
1 :arigato: 371
2 :tada: 344
3 :sasugada: 339
4 :sparkles: 277
5 :sugoi: 259

#alert-death
1 :bow: 65
2 :man-bowing: 34
3 :god: 23
4 :+1: 21
5 :sasugada: 19

#talk-gekikara-food
1 :hot_pepper: 16
2 :umasou: 10
3 :heart_eyes: 5
4 :sugoi: 4
5 :heart: 3

#notify-appcapsule

#prj-ac-product

#tmp-yquest-biz

#talk-bicycle

#snowboard

#club-survival-game
1 :woman-gesturing-ok: 67
2 :tada: 63
3 :arigato: 58
4 :youkoso: 43
5 :ok_hand: 32

#prj-y4b-docs

#osaka-cs-dir

#company-investigation
1 :man-gesturing-ok: 5
2 :woman-raising-hand: 4
3 :+1: 3
4 :man-bowing: 3
5 :man-raising-hand: 2

#tmp-yakuin-lunch0322

#yapplisummit_update
1 :man-bowing: 16
2 :sugoi: 10
3 :kandoutaiken: 6
4 :woman-gesturing-ok: 4
5 :yarimasu: 4

#notify-recruit

#notify-meetup

#customize-righton
1 :man-bowing: 17
2 :+1: 15
3 :pray: 10
4 :tada: 10
5 :+1::skin-tone-2: 9

#team-customer-success

#customize-ragtag

#customize-taiheiyo
1 :+1: 3

#notification_mochi2

#prj-appsflyer

#club-snowboarding
1 :sugoi: 6
2 :joy: 5
3 :daisuki: 3
4 :heart: 3
5 :god: 2

#talk-supplements

#team-developer-okr

#to-office-question

#times-kaji

#notify-yappedia

#ext-digiha-yappli

#prj-ac-sakoda
1 :ryokai: 11
2 :arigato: 10
3 :+1: 5
4 :azasu: 5
5 :man-gesturing-ok: 4

#crebox
1 :+1: 10
2 :pray: 5
3 :muscle: 4
4 :bow: 3
5 :raised_hands: 3

#copen_iwanaga-y
1 :man-bowing: 18
2 :pray: 6
3 :woman-gesturing-ok: 6
4 :woman-bowing: 5
5 :woman-raising-hand: 4

#notify-inside-tel

#temp-201906-lunch

#pjt-hanabi

#prj-rootbox

#team-sre

#yappli-ideabox
1 :man-bowing: 36
2 :god: 33
3 :sasugada: 25
4 :sugoi: 22
5 :wakaru: 20

#kintai-communication
1 :yoshiyoshi: 337
2 :+1: 189
3 :tea: 102
4 :nero: 37
5 :scream: 25

#notify-yappli-wiki

#ichiro_test_channel

#yokosuka_task
1 :done: 325
2 :paperclip: 23
3 :heavy_multiplication_x: 2
4 :skull: 1

#prj-ac-kamiya

#blog
1 :+1: 7
2 :christmas_tree: 5
3 :god: 4
4 :bamboo: 3
5 :ok_woman: 3

#customize-crestbridge
1 :man-bowing: 13
2 :bow: 9
3 :tada: 7
4 :+1: 4
5 :pray: 4

#prj-ec-connect
1 :arigato: 57
2 :pray: 48
3 :syouti: 37
4 :tada: 23
5 :eyes: 20

#tmp-sdk-define

#team-cs-dir-de-only

#times-matsurat

#demo
1 :+1: 1

#to-ec-rs
1 :+1: 49
2 :arigato: 45
3 :man-bowing: 30
4 :bow: 18
5 :clap: 14

#seminar

#ypd

#prj-relocation-movie

#tmp-dialpad-hearing

#customize-petgo
1 :done: 1
2 :makasero: 1
3 :man-bowing: 1
4 :pray::skin-tone-2: 1
5 :thinking_face: 1

#team-fieldsales
1 :arigato: 154
2 :god: 136
3 :sasugada: 136
4 :+1: 110
5 :woman-gesturing-ok: 62

#na

#copen_watanabe

#year-end-party

#times-mishimay

#club-futsal

#website_renewal
1 :+1: 37
2 :tada: 16
3 :sparkles: 14
4 :bow: 10
5 :clap: 6

#confluence

#talk-keio_users

#customize-jwi

#prj-ac-keio

#talk_ramen

#tmp-takeover-adobe

#customize-renaissance
1 :man-bowing: 6
2 :sob: 4
3 :tada: 3
4 :pray: 2
5 :woman-gesturing-ok: 2

#customize-reclo
1 :man-bowing: 8
2 :woman-gesturing-ok: 5
3 :man-gesturing-ok: 3
4 :tada: 3
5 :woman-bowing: 3

#to-sre
1 :eyes: 19
2 :man-raising-hand: 5
3 :sumi: 5
4 :+1: 4
5 :arigato: 4

#club-escape-game

